"Course Enrollments by Course
2016-17, Survey 3 - Preliminary
State Level",,
7763120,"U SKLS COMMUNIC:PK-5",86
7800010,"THRP INSTR SPT: 6-8",367
7801010,"ACCESS V/P ARTS: 6-8",1075
7810011,"ACCESS M/J LA 1",3127
7810012,"ACCESS M/J LA 2",3015
7810013,"ACCESS M/J LA 3",3022
7812015,"ACCESS M/J GR 6 MATH",3104
7812020,"ACCESS M/J GR 7 MATH",3061
7812030,"ACC M/J GR8 PRE-ALG",3040
7813010,"MUS: 6-8",434
7815010,"PE: 6-8",3734
7820015,"ACCESS M/J COMPSCI 1",3071
7820016,"ACCESS M/J COMPSCI 2",3044
7820017,"ACCESS M/J COMPSCI 3",3042
7820020,"HEALTH: 6-8",848
7821021,"ACCESS M/J CIVICS",2003
7821022,"ACCESS M/J WRLD HIST",2838
7821023,"ACCESS M/J CIV & CP",853
7821025,"ACCESS M/J US HIST",1687
7821026,"ACCESS M/J USHI & CP",1734
7821030,"CAR ED PLAN",1458
7855020,"HH INST SER: 6-8",315
7855040,"ADV ACAD: 6-8 GIFTED",6530
7855042,"ADV ACAD:6-8&CP GIFT",332
7863000,"U SKLS: SOC&EMO 6-8",6557
7863010,"U SKLS: 6-8",3478
7863020,"SPEECH AUD TRAIN:6-8",273
7863030,"U SKLS: IND FUNC 6-8",648
7863040,"U SKLS: CURR&LRN 6-8",721
7863050,"U SKLS: COMMUNIC 6-8",326
7863060,"ORIEN MOBLTY: 6-8",81
7863070,"EXP SKLS: 6-8",247
7863080,"EXP CORE COMP: 6-8",323
7863090,"LRNG STR: 6-8",9244
7866030,"SPEECH THRPY: 6-8",6531
7866040,"LANG THRPY: 6-8",19279
7866050,"OCCU THRPY: 6-8",2247
7866070,"PHY THRPY: 6-8",641
7900010,"THRP INSTR SPT",1398
7900030,"H/H INSTR SERVS",579
7910111,"ACCESS ENGLISH 1/2",7017
7910112,"ACCESS ENGLISH 3/4",6332
7910115,"FUND ENG 1",12
7910120,"FUND ENG 2",20
7910125,"FUND ENG 3",30
7910130,"FUND ENG 4",110
7912065,"ACCESS GEOMETRY",3620
7912070,"ACCESS LIB ARTS MATH",2323
7912075,"ACCESS ALGEBRA 1",811
7912080,"ACCESS ALGEBRA 1A",3673
7912090,"ACCESS ALGEBRA 1B",3255
7912095,"ACCESS ALGEBRA 2",3
7912100,"FUND ALGEBRA SKLS",24
7912105,"FUND CONSUMER MATH",77
7912110,"FUND EXPLORS MATH 1",51
7912115,"FUND EXPLORS MATH 2",65
7915010,"SPECI DESIGN PE",2514
7915015,"ACCESS HOPE 9-12",3239
7915020,"ACCESS PERSONAL FIT",485
7919010,"DR ED SP LRNRS",47
7920011,"ACCESS CHEMISTRY 1",968
7920015,"ACCESS BIOLOGY 1",4963
7920020,"ACCESS E/S SCI",3238
7920022,"ACCESS PHYSICAL SCI",163
7920025,"ACCESS INTEG SCI 1",2707
7920030,"FUND INTEG SCI 1",42
7920035,"FUND INTEG SCI 2",36
7920040,"FUND INTEG SCI 3",31
7920050,"ACCESS HEALTH/SAFETY",1209
7921015,"ACCESS US GOVT",1247
7921020,"ACCESS ECON",84
7921022,"ACCESS ECON FIN LIT",2392
7921025,"ACCESS US HIST",4364
7921027,"ACCESS WORLD HISTORY",4283
7921030,"FUND WORLD HISTORY",45
7921035,"FUND US HISTORY",45
7921042,"FUND ECON W/FIN LIT",51
7921045,"FUND US GOVT",30
7921330,"CAR ED: 9-12",1947
7960010,"TRAN PLAN: 9-12",2744
7963010,"PREP AD LIV",3813
7963040,"EXPANDED SKILLS:9-12",722
7963050,"EXP CORE COMP: 9-12",389
7963060,"ORIEN & MOBIL: 9-12",135
7963070,"U SKLS: SOC&EMO 9-12",4839
7963080,"LRNG STRATEGIES 9-12",16765
7963090,"SKLS STUS GIFTED",2387
7963130,"U SKLS: 9-12",3734
7963140,SELF-DETERMINATION,3663
7963150,"U SKLS: COMMUNI 9-12",1252
7963160,"U SKLS: IND FUN 9-12",1311
7963170,"U SKLS: CURR&LRN9-12",1039
7963180,"SPEECH&AUD TRNG9-12",6
7965010,"MTH STUS GIFTED",85
7965030,"EXTRNSHP STUS GIFTED",132
7965040,"STUDIES STUS GIFTED",619
7966010,"PHY THERAPY",711
7966020,"OCCU THERAPY",1368
7966030,"SPEECH THRPY",3406
7966040,"LANG THERAPY",15818
7967010,"ACCESS VIS/PERF ARTS",1962
7967015,"ACCESS DRAWING 1",598
7967020,"ACCESS THEATRE 1",170
7967025,"ACCESS 2D STUDIO ART",339
7980040,"PREP FOR ENTREP/EMP",346
7980110,"CAR PREP: 9-12",6450
7980120,"CAR EXERIENCES: 9-12",6432
7980130,"CAR PLACEMENT: 9-12",1306
7980150,"SUP COMPE EMPLOY",278
7980190,"TECH ED",239
8000400,"OR TO CAREER CLUST",2189
8004210,"INTRO TO EQUESTRIAN",31
8004220,"BEGINNING EQUESTRIAN",9
8004240,"ADVANCED EQUESTRIAN",3
8005110,"TECHNICAL AG OPS 2",362
8005120,"TECHNICAL AG OPS 3",182
8005130,"TECHNICAL AG OPS 4",44
8005140,"TECHNICAL AG OPS 5",16
8005200,"AG USE OF UAS TECH",10
8005233,"AG USE OF UAS TECH",171
8006110,"ENERGY INDUSTRY FUND",199
8006120,"INTRO TO ALT ENERGY",81
8006220,"INTRO TO NAT RES 2",223
8006230,"NAT RESOURCE TEC 3",91
8007110,"INTRO ENV WATER TECH",112
8007120,"INTM ENV WATER TECH",49
8007130,"ADV ENV WATER TECH",42
8007210,"ADV ENV WAT RECLAIM",24
8009110,"AG LEAD & MANAGEMENT",53
8009120,"PRIN OF AGRIBUSINESS",69
8012110,"INTRO FLORAL DESIGN",171
8012120,"FLORAL DESIGN 2",42
8012130,"FLORAL DSN & MKT 3",17
8012140,"FLORAL DSN & MGMT 4",4
8021100,"INTRO TO AG,FOOD,NR",943
8021110,"INTRO TO AG & CP",656
8021300,"FUND OF AG SYSTEMS",1761
8021400,"FUND OF AG SERVICES",1127
8100100,"AGRI, FOOD, NR DS",604
8100110,"ORIEN TO AGSCI & C P",1523
8100120,"INTRO AGRISCIENCE",3266
8100210,"EX OF AGRISCI",3222
8100310,"ORIENT AGRISCIENCE",3237
8100320,"FUND AGRISCIENCE",21
8100330,"ADV CONCEPTS OF AG",157
8100410,"AGRI,FOOD,NR - OJT",584
8104410,"CABINETMAKING 1",110
8104420,"CABINETMAKING 2",38
8104430,"CABINETMAKING 3",23
8104510,"CARPENTRY 1",707
8104520,"CARPENTRY 2",286
8104530,"CARPENTRY 3",57
8106120,"ANIMAL BIOTECH",52
8106210,"ANIM SCI & SERS 2",1304
8106220,"ANIM SCI & SERS 3",574
8106230,"ANIM SCI & SERS 4",160
8106240,"ANIM SCI & SERS 5",56
8106250,"ANIM SCI & SERS 6",5
8106510,"PLANT BIOTECHNOLOGY",17
8106810,"AGRISCI FOUND 1",15641
8106820,"AGRITECH 1",2150
8106830,"AGRITECH 2",1137
8106850,"AG BIOTECH 2",482
8106860,"AG BIOTECH 3",383
8109350,"INTRO ARCH & CONST",707
8109360,"INTRO ARCH & CONS/CP",93
8111510,"VET ASSIST 1",3821
8111520,"VET ASSIST 4",598
8111530,"VET ASSIST 5",212
8111540,"VET ASSIST 2",1903
8111550,"VET ASSIST 3",1174
8112010,"AQUACULTURE 2",397
8112020,"AQUACULTURE 3",126
8112030,"AQUACULTURE 4",32
8113010,"ENVIR RES 3",39
8113020,"ENVIR RES 4",31
8116010,"AG SALES & SERS 2",68
8116020,"AG SALES & SERS 3",26
8117010,"AG COMM 2",683
8117020,"AG COMM 3",167
8118310,"FORESTRY & NAT RES 2",50
8118320,"FORESTRY & NAT RES 3",26
8118330,"FORESTRY 4",10
8121310,"LAND & TURF SCI 4",113
8121320,"LAND & TURF SCI 5",31
8121330,"LAND OPS 6",13
8121410,"SPRTS&REC TURF OPS 6",34
8121510,"INTROD HORT 2",1533
8121520,"HORT SCI 3",549
8121600,"HORT SCIENCE & SERS",9
8121610,"HORT SCI & SERS 4",128
8121620,"HORT SCI & SERS 5",21
8121630,"HORT SCI & SERS 6",3
8129210,"FOOD SCI APPL 2",109
8129220,"FOOD SCI APPL 3",68
8130300,"FUND OF ARCH & CONST",284
8200100,"BUSINESS DIR STUDY",402
8200110,"BUSINESS KEYBD",9686
8200120,"BUSINESS LEAD SKLS",1191
8200130,"BUS KEY & CAR PLAN",3499
8200210,"CPTR APPL BUSINESS 2",11726
8200211,"CPTR APPL BUSINESS 3",3075
8200212,"CPTR APPL BUSINESS 4",2405
8200220,"CPTR APPL BUS 1 & CP",6008
8200330,"APLD CPT BUS SK 2",1134
8200340,"INTROD TO E-COMMERCE",785
8200350,"E-COMMERCE ENTREP",205
8200360,"E-COM SYS ANL&DESIGN",54
8200400,"ARTS, A/V DIR STUDY",117
8200410,"BUSINESS COOP ED OJT",1795
8200420,"BUSINESS COOP MGMT",100
8200430,"ARTS,A/V OJT",1
8200520,"CPTR APPL BUS 1",10602
8201010,"DIG CINEMA PROD 1",236
8201020,"DIG CINEMA PROD 2",109
8201030,"DIG CINEMA PROD 3",104
8201040,"DIG CINEMA PROD 4",48
8201050,"DIG CINEMA PROD 5",39
8201060,"DIG CINEMA PROD 6",21
8201070,"DIG CINEMA PROD 7",21
8201210,"DIG MEDIA/MM FOUND 1",5360
8201220,"DIG MEDIA/MM FOUND 2",2042
8201230,"DIG MEDIA/MM FOUND 3",849
8201240,"DIG MEDIA/MM FOUND 4",348
8201250,"DIG MEDIA/MM FOUND 5",44
8201260,"DIG MEDIA/MM FOUND 6",131
8201270,"DIG MEDIA/MM FOUND 7",92
8201310,"DIG PHOTOGRAPHY 1",1038
8201320,"DIG PHOTOGRAPHY 2",157
8201330,"DIG PHOTOGRAPHY 3",25
8201340,"DIG PHOTOGRAPHY 4",11
8203310,"ACCT APPL 1",4798
8203320,"ACCT APPL 2",568
8203330,"ACCT APPL 3",159
8203340,"ACCT APPL 4",1
8206010,"BUSINESS CPTR PGM 1",57
8206020,"BUSINESS CPTR PGM 2",23
8206030,"BUSINESS CPTR PGM 3",12
8206410,"DATABASE FUND",1
8206420,"DATA CONTROL & FUNC",5
8207010,"EMERG TECH BUSINESS",3734
8207020,"NETWK 1",622
8207030,"NETWK 2 INFRAST",248
8207040,"NETWK 3 INFRAST",116
8207050,"NETWK 4 INFRAST",36
8207060,"NETWKG 5",12
8207070,"NETWKG 6",7
8207110,"WEB DESIGN 1",253
8207240,"PC SUPPORT 4",4
8207310,"DIGITAL INFOR TECH",73478
8207441,"NETWK 2 ADM",23
8207442,"NETWK 3 ADM",17
8207443,"NETWK 4 ADM",9
8208110,"GAME & SIM FOUND",4316
8208120,"GAME & SIM DSN",2014
8208130,"GAME & SIM 2D GR DEV",413
8208140,"GAME & SIM 3D GR ANI",224
8208230,"GAME/SIM AUD/SND EFF",27
8208240,"GAME/SIM VID/SPEC EF",16
8208330,"GAME & SIM PGM",485
8208340,"MULTI-USER GAME&SIM",168
8208400,"GAME/SIM/ANI ADV APP",40
8209100,"CAR IN FASH & INT",879
8209200,"CAR IN FASH & INT CP",74
8209300,"CAR IN FASH DESIGN",245
8209350,"INTRO ARTS, A/V",3356
8209360,"INTRO ARTS, A/V & CP",2207
8209510,"DIGITAL DESIGN 1",17622
8209520,"DIGITAL DESIGN 2",4871
8209530,"DIGITAL DESIGN 3",1557
8209540,"DIGITAL DESIGN 4",278
8209550,"DIGITAL DESIGN 5",36
8209560,"DIGITAL DESIGN 6",14
8209570,"DIGITAL DESIGN 7",1
8209600,"DIGITAL DESIGN",24
8212110,"ADM OFF TECH 1",4137
8212120,"BUSINESS SOFTWARE 1",2325
8212160,"BUSINESS SOFTWARE 2",181
8212201,"MED OFF TECH 1",59
8212202,"MED OFF TECH 2",34
8212203,"MED OFF TECH 3",6
8212204,"MED OFF INTERNSHIP",1
8212230,"LEGAL OFFICE TECH 1",236
8212240,"LEGAL OFFICE TECH 2",63
8212250,"LEG OFFICE TECH 3",15
8212410,"ADM OFFICE TECH 2",832
8212420,"ADM OFFICE TECH 3",88
8212500,"ADMIN OFFICE SPEC",180
8215120,"BUSINESS ENTREP PRIN",2304
8215130,"LEG ASPECTS BUSINESS",797
8215140,"BUSINESS SUPV 1",114
8215150,"BUSINESS SUPV 2",62
8216110,"INTL BUSINESS SYSS",589
8216120,"INTL FIN & LAW",400
8216130,"BUSINESS INTERNSHIP",292
8217110,"CUS PROMO LAYOUT DSN",593
8217120,"PROMO DSN MGMT",95
8217130,"CUS PROMO S&D MGMT",85
8218010,"CUSTOMER ASST 1",288
8218020,"CUSTOMER ASST 2",11
8260300,"FUND OF A/V,PRINT TE",2017
8260400,"FUND OF TELECOMM",289
8260500,"FUND OF VIS & PA",1562
8300100,"DIV ED DIR STUDY",17
8300310,"WKPL ESSENTIALS",2314
8300320,"PRACTICAL ARTS GEN",3455
8300330,"WKPL TECH APPL",2706
8300410,"DIV CAR TECH-OJT",3651
8300420,"COOP DIV ED-OJT",4411
8300430,"GUIDED WKPL LEARN",3518
8301110,"MGMT & HUMAN RESOURC",439
8301120,"BUSINESS ANALYSIS",99
8301610,"WORK EXP 1",316
8301620,"WORK EXP 2",173
8301630,"WORK EXP 3",95
8301640,"WORK EXP 4",42
8301650,"WORK EXP-OJT",368
8303010,"DIV CAR TECH PRIN",3687
8303020,"DIV CAR TECH APPL",229
8303030,"DIV CAR TECH MGMT",12
8370350,"INTRO BUSINESS",116
8370360,"INTRO BUSINESS & CP",374
8400100,"HSE DIR STUDY",2675
8400110,"ORIEN TO HEALTH OCCS",2891
8400210,"EXPL HLTH OCCS & C P",2192
8400310,"EXPL HLTH OCCS",1251
8400320,"MEDICAL SKLS SERS",7904
8400410,"HSE COOP - OJT",24
8401010,"TECHNICAL DESIGN 1",2429
8401020,"TECHNICAL DESIGN 2",736
8401030,"TECHNICAL DESIGN 3",396
8401100,"APPLD ENGINEER TECH",10
8401110,"APPLD ENG TECH I",3185
8401120,"APPLD ENG TECH II",1486
8401130,"APPLD ENG TECH III",818
8404110,"MARITIME 1",189
8404120,"MARITIME 2",138
8404130,"MARITIME 3",50
8404140,"MARITIME 4",10
8405110,"EARLY CHILD 1 NEW",9734
8405120,"EARLY CHILD 2 NEW",3961
8405130,"EARLY CHILD 3 NEW",2564
8405140,"EARLY CHILD 4 NEW",1667
8409100,"FUND OF CAREER IN ED",572
8409200,"FUND OF CAREERS & CP",64
8417100,"HEALTH SCI A & P",15037
8417106,"ORIEN NUR",52
8417110,"HEALTH SCI FOUNDS",10824
8417120,"HEALTH & WELLNESS 3",636
8417130,"ALLIED HEALTH ASSIST",28
8417131,"ALLIED HEALTH ASSIS3",3787
8417141,"DENTAL AIDE 3",105
8417161,"EKG AIDE 3",298
8417171,"EMERG MED RESP 3",1546
8417190,"HOME HEALTH AIDE (S)",4
8417191,"HME HEALTH AIDE 3",442
8417201,"MED LAB ASSIST 3",200
8417202,"MED LAB ASSIST 4",158
8417211,"NURSE AST 3",2002
8417231,"VISION CARE ASSIST 3",27
8417232,"VISION CARE ASSIST 4",28
8417281,"HEALTH UNIT COOR 1",84
8417282,"HEALTH UNIT COOR 2",13
8418210,"PHARM TECH 1",94
8418220,"PHARM TECH 2",71
8418230,"PHARM TECH 3",73
8418240,"PHARM TECH 4",50
8418250,"PHARM TECH 5",49
8418260,"PHARM TECH 6",37
8418270,"PHARM TECH 7",139
8418310,"PRAC NURS 1",20
8418320,"PRAC NURS 2",99
8418330,"PRAC NURS 3",106
8418340,"PRAC NURS 4",103
8418350,"PRAC NURS 5",56
8418360,"PRAC NURS 6",45
8418370,"PRAC NURS 7",69
8418380,"PRAC NURS 8",67
8418390,"PRAC NURS 9",67
8427130,"ELECTROCARDIO TECH 3",1047
8440350,"INTRO ED & TRAIN",282
8440360,"INTRO ED & TRAIN/CP",18
8500100,"ED & TRAINING DS",685
8500120,"PERS & FAM FIN",3307
8500140,"CAR DISC",1665
8500170,"S SCH AGE CER TRAIN1",6
8500230,"PERSONAL DEV",1765
8500300,"PARENT SKLS",4922
8500310,"CHILD DEV",1200
8500345,"FAMILY DYNAMICS",597
8500355,"NUTRITION & WELLNESS",2083
8500365,"FAMILY HME CONS TECH",1487
8500375,"BLUEPR PROF SUCCESS",237
8500380,"FABR CONSTRUCTION",257
8500390,"PRINCIPLES OF FOOD",5577
8500395,"FOOD SCI & SAFETY",693
8500410,"ED & TRAIN - OJT",67
8500430,"PERSONAL DEV & CAR P",1295
8501000,"FINANCE DIRECTED ST",50
8501420,"Finance OJT",11
8502000,"LIF MGMT SKL",156
8506400,"FASH TECH & DSN SERS",3
8506405,"DESIGN SERVS CORE",2343
8506410,"PRIN FASH DESIGN",652
8506420,"PATTERN DESIGN TECNQ",326
8506430,"FASH DESIGN SPEC",213
8506540,"PRIN INT DESIGN SERV",350
8506550,"INT DESIGN TECNQS",157
8506560,"INT DESIGN SPEC",79
8540350,"INTRO TO FINANCE",325
8540360,"INTRO TO FINANCE/CP",202
8540400,"FUND OF FINANCE",407
8600000,"INTEGRATED TECH ST",62
8600010,"INTROD TO TECH",6681
8600012,"INTRO TEC  & CAR PLA",34
8600020,"EXPLO TECH",8444
8600030,"EXPLOR COMM TECH",2684
8600032,"EX COMM TECH & CP",48
8600040,"EXPLOR OF PROD TECH",2706
8600042,"EX OF PDCT TECH & CP",695
8600050,"EXPLOR AEROSPACE TEC",1200
8600052,"EX AERO TECH & CP",179
8600060,"EX ENGINEERING TECH",763
8600062,"EX ENGINEER TECH& CP",351
8600070,"EX ROBOTICS TECH",373
8600072,"EX ROBOTICS TECH& CP",235
8600082,"EX TECH DSN TECH& CP",266
8600090,"EX TECH DSGN TECH",62
8600091,"EX ELECTRONICS TECH",116
8600095,"EX ELECTRONICS & CP",84
8600120,"FOUND OF TECH",117
8600220,"EXPLO TECH & CAR PLA",3359
8600240,"EX OF TRANS TECH",1002
8600250,"EX POWER & ENGR TECH",1686
8600252,"EX POWER & ENERGY CP",13
8600260,"INTRO TO GIS/RS TECH",163
8600270,"ESS GIS/RS TOOLS/PRO",101
8600280,"GIS/RS ANAL & MODEL",38
8600420,"POWER TRANS SYSS",18
8600430,"PRODUCTION SYSS",8
8600450,"ELECTRONICS SYSS",8
8600460,"ENGINEERING SYSS",169
8600470,"APPLIED TECH SYSS",11
8600480,"HOME TECH SYSS",8
8600510,"TECH STUDIES 1",418
8600520,"PRIN OF ENGR",3489
8600530,"DIGTIAL ELECT",1347
8600540,"PRODUCTION TECH 1",577
8600550,"INTROD ENGR DESIGN",7521
8600560,"COMP INTG MAN",741
8600570,"ENGINEERING TECH 1",178
8600580,"AEROSPACE TECH 1",1835
8600590,"CIV ENGR & ARCH",607
8600610,"TECH STUDIES 2",119
8600620,"AERO ENGR",471
8600630,"BIOTECH ENGR",35
8600640,"PRODUCTION TECH 2",96
8600650,"ENGR DESIGN & DEV",897
8600670,"ENGINEERING TECH 2",152
8600680,"AEROSPACE TECH 2",483
8600810,"DRAFT/ILL DESIGN TE1",223
8600820,"DRAFT/ILL DESIGN TE2",175
8600830,"DRAFT/ILL DESIGN TE3",165
8600910,"ELECTS TECH 1",156
8600920,"ELECTS TECH 2",38
8600930,"ELECTS TECH 3",19
8601010,"COMM TECH 1",3797
8601020,"COMM TECH 2",1363
8601030,"COMM TECH 3",760
8601110,"MAT & PROCS TECH 1",876
8601120,"MAT & PROCS TECH 2",191
8601130,"MAT & PROCS TECH 3",105
8601210,"TRANS TECH 1",56
8601220,"TRANS TECH 2",6
8601310,"POWER & ENERGY TECH1",237
8601320,"POWER & ENERGY TECH2",50
8601330,"POWER & ENERGY TECH3",21
8601710,"TECH STUDIES 3",21
8601740,"PRODUCTION TECH 3",60
8601770,"ENGINEERING TECH 3",239
8601780,"AEROSPACE TECH 3",280
8601800,"WORK-BASED EXP",7
8601900,"ADV TECHNOLOGY APPS",1125
8602010,"EMER PLAN & RESP 1",194
8602020,"EMER PLAN & RESP 2",90
8602030,"EMER PLAN & RESP 3",65
8602040,"EMER PLAN & RESP 4",61
8700100,"ARCH & CONST DS",110
8700330,"PRAC CONST TRADES",8
8700360,"PRAC CMCL FOODS",15
8700400,"ARCH & CONSTRC - OJT",12
8703110,"TECH FOR HOSP & TOUR",204
8703120,"HOSP & TOUR MKT MGMT",141
8703130,"HOSP & TOUR ENTREPRE",55
8708110,"PRIN BIOMED SCIENCES",2006
8708120,"HUMAN BODY SYSTEMS",1264
8708130,"MED INTERVENTIONS",748
8708140,"BIOMED INNOVATION",314
8709010,"AUTO COLL RPR & REF1",824
8709020,"AUTO COLL RPR & REF2",343
8709030,"AUTO COLL RPR & REF3",211
8709040,"AUTO COLL RPR & REF4",136
8709050,"AUTO COLL RPR & REF5",73
8709060,"AUTO COLL RPR & REF6",43
8709070,"AUTO COLL RPR & REF7",13
8709080,"AUTO COLL RPR & REF8",17
8709090,"AUTO COLL RPR & REF9",2
8709350,"INTRO HEALTH SCI",502
8709360,"INTRO HEALTH SCI/CP",95
8709410,"AUTO SERV TECH 1",289
8709420,"AUTO SERV TECH 2",120
8709430,"AUTO SERV TECH 3",96
8709440,"AUTO SERV TECH 4",76
8709450,"AUTO SERV TECH 5",63
8709460,"AUTO SERV TECH 6",71
8709470,"AUTO SERV TECH 7",40
8709480,"AUTO SERV TECH 8",6
8709490,"AUTO SERV TECH 9",55
8709491,"AUTO SERV TECH 10",1
8709493,"AUTO SERV TECH 12",40
8710010,"AUTO DETAIL 1",19
8713010,"A/C, REFG &HT TECH 1",247
8713020,"A/C&REFG & HT TECH 2",96
8713030,"A/C, REFG &HT TECH 3",84
8713040,"A/C, REFG &HT TECH 4",33
8713050,"A/C&REFG & HT TECH 5",24
8713060,"A/C&REFG & HT TECH 6",14
8713070,"A/C&REFG & HT TECH 7",13
8715110,"AVIATION MAINT GEN 1",108
8715120,"AVIATION MAINT GEN 2",59
8715130,"AVIATION MAINT GEN 3",39
8715140,"AVIATION MAINT GEN 4",30
8718010,"CMCL ART TECH 1",992
8718020,"CMCL ART TECH 2",431
8718030,"CMCL ART TECH 3",257
8718040,"CMCL ART TECH 4",132
8718050,"CMCL ART TECH 5",66
8718060,"CMCL ART TECH 6",80
8718070,"CMCL ART TECH 7",30
8718080,"CMCL ART TECH 8",35
8718090,"CMCL ART TECH 9",7
8718110,"3-D ANIMATION TECH 1",818
8718120,"3-D ANIMATION TECH 2",339
8718130,"3-D ANIMATION TECH 3",90
8718140,"3-D ANIMATION TECH 4",69
8720140,"CABINETMAKING 4",10
8720150,"CABINETMAKING 5",2
8720310,"BLDG CONST TECH 1",2531
8720320,"BLDG CONST TECH 2",763
8720330,"BLDG CONST TECH 3",527
8720340,"BLDG CONST TECH 4",130
8720350,"BLDG CONST TECH 5",40
8720360,"BLDG CONST TECH 6",6
8720370,"BLDG CONST TECH 7",4
8721510,"PAINT 1",59
8721520,"PAINT 2",8
8721530,"PAINT 3",8
8721540,"PAINT 4",1
8721610,"PLUMBING TECH 1",3
8721630,"PLUMBING TECH 3",5
8722010,"BLDG TR & CDT 1",3569
8722020,"BLDG TR & CDT 2",1005
8722030,"BLDG TR & CDT 3",530
8722040,"BLDG TR & CDT 4",170
8722050,"BLDG TR & CDT 5",33
8722060,"BLDG TR & CDT 6",17
8722110,"CARP & CAB MAKING 1",186
8722120,"CARP & CAB MAKING 2",109
8722130,"CARP & CAB MAKING 3",117
8722140,"CARP 4",99
8722150,"CARP 5",34
8722160,"CARP 6",7
8722170,"CARP 7",1
8722610,"MASONRY 1",57
8722620,"MASONRY 2",35
8722630,"MASONRY 3",17
8722640,"MASONRY 4",11
8722650,"MASONRY 5",3
8725010,"DRAFT 1",1540
8725020,"DRAFT 2",730
8725030,"DRAFT 3",421
8725040,"DRAFT 4",290
8725450,"ARCH DRAFT 5",81
8725460,"ARCH DRAFT 6",24
8725550,"STRUCT DRAFT5",9
8725560,"STRUCT DRAFT 6",22
8727210,"ELECTRICITY 1",439
8727220,"ELECTRICITY 2",176
8727230,"ELECTRICITY 3",75
8727240,"ELECTRICITY 4",40
8727250,"ELECTRITICY 5",15
8727260,"ELECTRICITY 6",4
8727270,"ELECTRICITY 7",3
8727280,"ELECTRICITY 8",2
8730010,"ELECTRONIC 1",34
8730020,"ELECTRONIC 2",49
8730030,"ELECTRONIC 3",25
8730040,"ELECTRONIC 4",18
8730050,"ELECTRONIC 5",14
8730060,"ELECTRONIC 6",12
8730070,"ELECTRONIC 7",1
8730080,"ELECTRONIC 8",1
8730210,"TELECOM TECH 1",28
8730220,"TELECOM TECH 2",22
8730230,"TELECOM TECH 3",21
8730240,"TELECOM TECH 4",25
8733010,"DRY CLEAN & LAUND 1",81
8733020,"DRY CLEAN & LAUND 2",8
8733030,"DRY CLEAN & LAUND 3",9
8736030,"BIOTECH 3",302
8739010,"PRINT&GRAPHIC COMM1",279
8739020,"PRINT&GRAPHIC COMM 2",63
8739030,"PRINT&GRAPHIC COMM 3",21
8739040,"PRINT&GRAPHIC COMM 4",9
8739050,"PRINT&GRAPHIC COMM 5",2
8742010,"DIESEL ENGN SERV 1",52
8742020,"DIESEL ENGN SERV 2",68
8742030,"DIESEL ENGN SERV 3",42
8742040,"DIESEL ENGN SERV 4",93
8742050,"DIESEL ENGN SERV 5",13
8742060,"DIESEL ENGN SERV 6",8
8742070,"DIESEL ENGN SERV 7",8
8742080,"DIESEL ENGN SERV 8",2
8742090,"DIESEL ENGN SERV 9",1
8742091,"DIESEL ENGN SERV 10",1
8742092,"DIESEL ENGN SERV 11",1
8742093,"DIESEL ENGN SERV 12",1
8743010,"ENGR ASSIST 1",127
8751010,"MARI SERV 1",3
8751020,"MARI SERV 2",3
8751030,"MARI SERV 3",17
8751040,"MARI SERV 4",24
8751050,"MARI SERV 5",15
8751060,"MARI SERV 6",16
8751070,"MARI SERV 7",9
8751080,"MARI SERV 8",6
8751210,"COMM FISH 1",67
8751220,"COMM FISH 2",56
8751230,"COMM FISH 3",59
8751240,"COMM FISH 4",5
8751250,"COMM FISH 5",1
8751330,"BOAT & YCT R/R TEC 3",11
8751340,"BOAT & YCT R/R TEC 4",7
8751350,"BOAT & YCT R/R TEC 5",3
8754010,"MACHINING 1",33
8754020,"MACHINING 2",19
8754030,"MACHINING 3",18
8754040,"MACHINING 4",2
8754050,"MACHINING 5",2
8754510,"WELDING TECH 1",136
8754520,"WELDING TECH 2",49
8754530,"WELDING TECH 3",111
8754540,"WELDING TECH 4",64
8754550,"WELDING TECH 5",35
8754560,"WELDING TECH 6",27
8754570,"WELDING TECH 7",18
8754580,"WELDING TECH 8",3
8757110,"BARBERING 1",467
8757120,"BARBERING 2",77
8757130,"BARBERING 3",28
8757140,"BARBERING 4",15
8757150,"BARBERING 5",1
8757160,"BARBERING 6",1
8757170,"BARBERING 7",1
8757180,"BARBERING 8",1
8757210,"GROOM & SAL SERS 1",107
8757310,"NAILS SPECT 2",134
8757320,"NAILS SPECT 3",44
8757410,"FACIALS SPECT 2",7
8757420,"FACIALS SPECT 3",50
8766020,"GAS ENGN SERV 2",18
8766030,"GAS ENGN SERV 3",10
8766040,"GAS ENGN SERV 4",5
8766110,"MOTORCYCLE SERV 1",9
8766140,"MOTORCYCLE SERV 4",8
8766160,"MOTORCYCLE SERV 6",5
8766180,"MOTORCYCLE SERV 8",3
8771110,"INDUS COMM",242
8772010,"CMCL PHOTO TECH 1",681
8772020,"CMCL PHOTO TECH 2",188
8772030,"CMCL PHOTO TECH 3",108
8772040,"CMCL PHOTO TECH 4",54
8772050,"CMCL PHOTO TECH 5",11
8772060,"CMCL PHOTO TECH 6",2
8772070,"CMCL PHOTO TECH 7",2
8772100,"TELEVISION PROD",2
8772110,"TV PRODUCTION 1",11112
8772120,"TV PRODUCTION 2",3638
8772130,"TV PRODUCTION 3",2143
